Month,Breakdown,Country,Number of Tourists
Oct-17,Europe,Italy,4898.0
Oct-17,Europe,Russia,5485.0
Oct-17,Europe,United Kingdom,9173.0
Oct-17,Asia,China,28689.0
Oct-17,Asia,India,7414.0
Oct-17,Europe,France,3170.0
Nov-17,Europe,Germany,11829.0
Nov-17,Europe,Italy,7017.0
Nov-17,Europe,Russia,6421.0
Nov-17,Europe,United Kingdom,9579.0
Nov-17,Asia,China,21195.0
Nov-17,Asia,India,7231.0
Nov-17,Europe,France,3345.0
Dec-17,Europe,Germany,9042.0
Dec-17,Europe,Italy,14756.0
Dec-17,Europe,Russia,7567.0
Dec-17,Europe,United Kingdom,9719.0
Dec-17,Asia,China,19918.0
Dec-17,Asia,India,12647.0
Dec-17,Europe,France,5491.0
Jan-18,Europe,Germany,8329.0
Jan-18,Europe,Italy,14329.0
Jan-18,Europe,Russia,9595.0
Jan-18,Europe,United Kingdom,9442.0
Jan-18,Asia,China,25830.0
Jan-18,Asia,India,8481.0
Jan-18,Europe,France,6335.0
Feb-18,Europe,Germany,9785.0
Feb-18,Europe,Italy,13962.0
Feb-18,Europe,Russia,6953.0
Feb-18,Europe,United Kingdom,11362.0
Feb-18,Asia,China,33506.0
Feb-18,Asia,India,6038.0
Feb-18,Europe,France,8058.0
Mar-18,Europe,Germany,14692.0
Mar-18,Europe,Italy,13198.0
Mar-18,Europe,Russia,7867.0
Mar-18,Europe,United Kingdom,11829.0
Mar-18,Asia,China,13203.0
Mar-18,Asia,India,4916.0
Mar-18,Europe,France,6452.0
Apr-18,Europe,Germany,9070.0
Apr-18,Europe,Italy,8389.0
Apr-18,Europe,Russia,6433.0
Apr-18,Europe,United Kingdom,10866.0
Apr-18,Asia,China,15093.0
Apr-18,Asia,India,5588.0
Apr-18,Europe,France,5903.0
May-18,Europe,Germany,10668.0
May-18,Europe,Italy,3258.0
May-18,Europe,Russia,3903.0
May-18,Europe,United Kingdom,7577.0
May-18,Asia,China,16927.0
May-18,Asia,India,8711.0
May-18,Europe,France,2555.0
